date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:58	114/114	---M-Z	200	added ('OK')	text/plain	date:Fri,%2011%20Oct%202024%2013:28:58%20GMT	https://invisimple.id/robots.txt		(from )
20:29:02	343686/343686	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202024%2013:29:00%20GMT	https://invisimple.id/s03/	D:/Undangan/robi-dewi/invisimple.id/s03/index.html	(from )
20:29:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Oct%202024%2013:29:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Undangan/robi-dewi/www.googletagmanager.com/gtm.05445.delayed	(from https://invisimple.id/s03/)
20:29:03	15611/15611	---M-Z	200	added ('OK')	text/css	etag:%223cfb-6411c32e-d4cea7;gz%22	https://invisimple.id/wp-content/plugins/invisimple-2/assets/css/animations.css?ver=2.2.5	D:/Undangan/robi-dewi/invisimple.id/wp-content/plugins/invisimple-2/assets/css/animations5bf8.css	(from https://invisimple.id/s03/)
20:29:04	5234/5234	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e33c885fe98e462b70fa9980845880de%22	https://invisimple.id/s03/feed/	D:/Undangan/robi-dewi/invisimple.id/s03/feed/index.html	(from https://invisimple.id/s03/)
20:29:06	52552/52552	---M-Z	200	added ('OK')	text/css	etag:%22cd48-641f7460-d4da22;gz%22	https://invisimple.id/wp-content/plugins/invisimple-5/assets/css/frontend.css?ver=3.0.5	D:/Undangan/robi-dewi/invisimple.id/wp-content/plugins/invisimple-5/assets/css/frontend8d18.css	(from https://invisimple.id/s03/)
20:29:06	112427/112427	---M-Z	200	added ('OK')	text/css	etag:%221b72b-66e086a6-d4a2ad;gz%22	https://invisimple.id/wp-includes/css/dist/block-library/style.min.css?ver=1f9b6c38e932bbb96335d76e3d6bc506	D:/Undangan/robi-dewi/invisimple.id/wp-includes/css/dist/block-library/style.minefe9.css	(from https://invisimple.id/s03/)
20:29:07	116794/116794	---M-Z	200	added ('OK')	text/css	etag:%221c83a-641dd404-d4e0ae;gz%22	https://invisimple.id/wp-content/plugins/invisimple-8/themes/default/style.css?ver=7.5.3	D:/Undangan/robi-dewi/invisimple.id/wp-content/plugins/invisimple-8/themes/default/stylefff2.css	(from https://invisimple.id/s03/)
20:29:07	11527/11527	---M-Z	200	added ('OK')	text/css	etag:%222d07-641dd404-d4e216;gz%22	https://invisimple.id/wp-content/plugins/invisimple-8/assets/third-party/font-awesome-5.13.0/css/fa.min.css?ver=7.5.3	D:/Undangan/robi-dewi/invisimple.id/wp-content/plugins/invisimple-8/assets/third-party/font-awesome-5.13.0/css/fa.minfff2.css	(from https://invisimple.id/s03/)
20:29:07	14817/14817	---M-Z	200	added ('OK')	text/css	etag:%2239e1-641dd404-d4e10b;gz%22	https://invisimple.id/wp-content/plugins/invisimple-8/assets/css/wpdiscuz-combo-no_quill.min.css?ver=1f9b6c38e932bbb96335d76e3d6bc506	D:/Undangan/robi-dewi/invisimple.id/wp-content/plugins/invisimple-8/assets/css/wpdiscuz-combo-no_quill.minefe9.css	(from https://invisimple.id/s03/)
